item_fat_content,item_identifier,item_type,outlet_establishment_year,outlet_identifier,outlet_location_type,outlet_size,outlet_type,item_visibility,item_weight,sales,rating
Low Fat,FDX14,Dairy,2018.0,OUT019,Tier 1,Small,Grocery Store,0.13121,12.6,74.0354,3.0
Low Fat,FDU52,Frozen Foods,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.0639,7.56,157.263,3.0
Low Fat,FDZ22,Snack Foods,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.045051,12.6,84.925,3.0
Low Fat,NCQ50,Household,2020.0,OUT017,Tier 2,Medium,Supermarket Type1,0.034501,18.75,211.7218,3.0
Regular,FDG38,Canned,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.052685,8.975,83.3224,3.0
Low Fat,FDK15,Meat,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.098567,10.8,98.3042,3.0
Low Fat,NCL19,Others,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.015663,15.35,143.947,3.0
Regular,FDO10,Snack Foods,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.0,13.65,55.8588,3.0
Low Fat,DRK35,Hard Drinks,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.071833,8.365,36.1506,3.0
Low Fat,FDN21,Snack Foods,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.076483,12.6,163.1236,3.0
Low Fat,FDB34,Snack Foods,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.026718,15.25,85.2198,3.0
Low Fat,FDA45,Snack Foods,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.154627,12.6,177.637,3.0
Low Fat,FDT49,Canned,2020.0,OUT017,Tier 2,Medium,Supermarket Type1,0.152262,7.0,105.728,3.0
Low Fat,FDC26,Canned,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.126898,10.195,110.6886,3.0
Low Fat,FDI26,Canned,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.034941,5.94,177.3344,3.0
Low Fat,FDI15,Dairy,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.0,13.8,263.7884,3.0
Low Fat,FDA14,Dairy,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.065285,16.1,145.076,3.0
Low Fat,FDG53,Frozen Foods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.045928,10.0,138.118,3.0
Low Fat,FDS40,Frozen Foods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.014041,15.35,38.419,3.0
Low Fat,FDP32,Fruits and Vegetables,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.087806,6.65,126.7678,3.0
Low Fat,FDS55,Fruits and Vegetables,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.08129,7.02,147.3734,3.0
Low Fat,NCC42,Health and Hygiene,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.044978,15.0,140.8838,3.0
Low Fat,NCX41,Health and Hygiene,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.017747,19.0,210.8244,3.0
Low Fat,FDP39,Meat,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.069533,12.65,51.8324,3.0
Low Fat,FDR33,Snack Foods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.026831,7.31,108.057,3.0
Regular,FDI60,Baking Goods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.038381,7.22,62.351,3.0
Regular,FDH60,Baking Goods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.0,19.7,194.411,3.0
Regular,FDY01,Canned,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.170548,11.8,113.8834,3.0
Regular,FDS02,Dairy,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.146094,10.195,196.1794,3.0
Regular,FDS15,Meat,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.078182,9.195,106.7596,3.0
Regular,FDT15,Meat,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.042748,12.15,183.695,3.0
Regular,FDY34,Snack Foods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.010999,10.5,164.3842,3.0
Regular,FDU45,Snack Foods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.035561,15.6,112.1518,3.0
Regular,FDS34,Snack Foods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.076878,19.35,113.9518,3.0
Low Fat,FDS12,Baking Goods,2018.0,OUT019,Tier 1,Small,Grocery Store,0.304859,12.6,125.4362,3.0
Low Fat,FDN13,Breakfast,2018.0,OUT019,Tier 1,Small,Grocery Store,0.266234,12.6,98.5358,3.0
Low Fat,FDQ13,Canned,2018.0,OUT019,Tier 1,Small,Grocery Store,0.018632,12.6,82.9908,3.0
Low Fat,FDW13,Canned,2018.0,OUT019,Tier 1,Small,Grocery Store,0.171384,12.6,50.5324,3.0
Low Fat,FDC04,Dairy,2018.0,OUT019,Tier 1,Small,Grocery Store,0.078764,12.6,241.3854,3.0
Low Fat,FDE45,Fruits and Vegetables,2018.0,OUT019,Tier 1,Small,Grocery Store,0.07066,12.6,180.4002,3.0
Regular,FDB41,Frozen Foods,2018.0,OUT019,Tier 1,Small,Grocery Store,0.170383,12.6,45.2718,3.0
Regular,FDZ16,Frozen Foods,2018.0,OUT019,Tier 1,Small,Grocery Store,0.279887,12.6,193.1478,3.0
Low Fat,DRH39,Dairy,2018.0,OUT019,Tier 1,Small,Grocery Store,0.0,12.6,75.967,3.0
Low Fat,DRG15,Dairy,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.076736,6.13,62.4536,3.0
Low Fat,DRK39,Dairy,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.049865,7.02,82.925,3.0
Low Fat,DRH15,Dairy,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.109911,8.775,41.9428,3.0
Low Fat,FDC56,Fruits and Vegetables,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.121521,7.72,118.244,3.0
Low Fat,FDD09,Fruits and Vegetables,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.021496,13.5,180.5976,3.0
Low Fat,DRF23,Hard Drinks,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.0,4.61,173.8396,3.0
Low Fat,DRJ59,Hard Drinks,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.019372,11.65,40.6164,3.0
Low Fat,NCY06,Household,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.061185,15.25,132.0968,3.0
Regular,FDY11,Baking Goods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.02956,6.71,65.8142,3.0
Regular,FDZ49,Canned,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.133146,11.0,218.4798,3.0
Regular,FDA51,Dairy,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.16468,8.05,112.1518,3.0
Regular,FDT14,Dairy,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.127727,10.695,121.144,3.0
Regular,FDV16,Frozen Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.082931,7.75,35.2558,3.0
Regular,FDR19,Fruits and Vegetables,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.159721,13.5,147.6102,3.0
Regular,FDQ27,Meat,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.044253,5.19,102.599,3.0
Regular,FDK58,Snack Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.0,11.35,101.5016,3.0
Regular,FDG22,Snack Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.041381,17.6,35.019,3.0
Low Fat,NCU54,Household,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.098822,8.88,209.627,3.0
Low Fat,NCQ17,Health and Hygiene,2020.0,OUT017,Tier 2,Medium,Supermarket Type1,0.117594,10.3,154.463,3.0
Low Fat,FDF17,Frozen Foods,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.042707,5.19,197.811,3.0
Low Fat,FDT43,Fruits and Vegetables,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.02059,16.35,53.2324,3.0
Low Fat,NCN05,Health and Hygiene,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.014489,8.235,183.795,3.0
Low Fat,NCS30,Household,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.093215,5.945,129.1652,3.0
Low Fat,NCH30,Household,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.06729,17.1,114.586,3.0
Low Fat,FDF33,Seafood,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.021579,7.97,105.9596,3.0
Low Fat,FDQ09,Snack Foods,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.0,7.235,115.1834,3.0
Low Fat,FDW34,Snack Foods,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.035651,9.6,244.917,3.0
Low Fat,FDY45,Snack Foods,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.026195,17.5,252.6356,3.0
Low Fat,FDI26,Canned,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.035084,5.94,176.4344,3.0
Low Fat,FDX40,Frozen Foods,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.099553,12.85,40.0164,3.0
Low Fat,FDR08,Fruits and Vegetables,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.037836,18.7,111.1886,3.0
Low Fat,NCW53,Health and Hygiene,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.030668,18.35,193.4162,3.0
Low Fat,NCX30,Household,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.026771,16.7,246.3776,3.0
Low Fat,FDU34,Snack Foods,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.07562,18.25,123.8046,3.0
Low Fat,DRI37,Soft Drinks,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.108206,15.85,58.3904,3.0
Regular,FDZ23,Baking Goods,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.06764,17.75,187.624,3.0
Regular,FDV26,Dairy,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.076315,20.25,196.7794,3.0
Regular,FDR52,Frozen Foods,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.076199,12.65,191.3846,3.0
Regular,FDT07,Fruits and Vegetables,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.077476,5.82,255.333,3.0
Regular,FDF44,Fruits and Vegetables,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.059849,7.17,129.4968,3.0
Regular,FDR19,Fruits and Vegetables,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.160045,13.5,145.4102,3.0
Regular,FDF57,Fruits and Vegetables,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.058947,14.5,168.6448,3.0
Regular,FDI21,Snack Foods,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.056718,5.59,62.9168,3.0
Regular,FDS58,Snack Foods,2015.0,OUT045,Tier 2,High,Supermarket Type1,0.021049,9.285,161.0578,3.0
Regular,FDX49,Canned,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.102408,4.615,234.33,3.0
Regular,FDM02,Canned,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.074152,12.5,88.6198,3.0
Regular,FDK03,Dairy,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.074339,12.6,255.5356,3.0
Regular,FDG41,Frozen Foods,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.076995,8.84,112.0228,3.0
Regular,FDW43,Fruits and Vegetables,2020.0,OUT017,Tier 2,Medium,Supermarket Type1,0.022552,20.1,226.6036,3.0
Regular,FDC10,Snack Foods,2020.0,OUT017,Tier 2,Medium,Supermarket Type1,0.07329,9.8,120.8098,3.0
Regular,DRB48,Soft Drinks,2020.0,OUT017,Tier 2,Medium,Supermarket Type1,0.024994,16.75,37.4822,3.0
Low Fat,DRF01,Soft Drinks,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.175047,5.655,146.9102,3.0
Low Fat,FDS48,Baking Goods,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.027774,15.15,152.3708,3.0
Low Fat,FDS23,Breads,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.140862,4.635,126.4994,3.0
Low Fat,FDV35,Breads,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.128182,19.5,156.1314,3.0
Low Fat,DRF27,Dairy,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.028412,8.93,152.334,3.0
Low Fat,FDV14,Dairy,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.044489,19.85,89.4856,3.0
Low Fat,FDQ20,Fruits and Vegetables,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.029779,8.325,39.3138,3.0
Low Fat,FDT43,Fruits and Vegetables,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.020544,16.35,49.9324,3.0
Low Fat,DRN35,Hard Drinks,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.070234,8.01,34.9532,3.0
Low Fat,NCF07,Household,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.032016,9.0,99.6016,3.0
Low Fat,FDL45,Snack Foods,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.037681,15.6,123.7704,3.0
Low Fat,FDL34,Snack Foods,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.040938,16.0,141.1496,3.0
Low Fat,FDR09,Snack Foods,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.07771,18.25,259.6962,3.0
Low Fat,DRN36,Soft Drinks,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.050168,15.2,95.3752,3.0
Regular,FDM50,Canned,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.030083,13.0,61.922,3.0
Regular,FDA26,Dairy,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.073906,7.855,218.4482,3.0
Regular,FDS04,Frozen Foods,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.146635,10.195,139.0838,3.0
Regular,FDS16,Frozen Foods,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.066164,15.15,147.376,3.0
Regular,FDB29,Frozen Foods,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.052402,16.7,115.1176,3.0
Regular,FDZ43,Fruits and Vegetables,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.057048,11.0,240.4512,3.0
Regular,FDE56,Fruits and Vegetables,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.159165,17.25,63.4194,3.0
Regular,FDU20,Fruits and Vegetables,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.021453,19.35,120.3098,3.0
Regular,FDD23,Starchy Foods,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.048676,9.5,187.7898,3.0
Low Fat,FDX24,Baking Goods,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.013926,8.355,93.0462,3.0
Regular,FDH44,Fruits and Vegetables,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.025867,19.1,147.6418,3.0
Low Fat,NCL53,Health and Hygiene,2011.0,OUT010,Tier 3,Medium,Grocery Store,0.06065,7.5,177.4028,3.0
Low Fat,FDU35,Breads,2011.0,OUT010,Tier 3,Medium,Grocery Store,0.13259,6.44,98.17,3.0
Low Fat,DRI01,Soft Drinks,2011.0,OUT010,Tier 3,High,Grocery Store,0.057667,7.97,172.1422,3.0
Regular,FDE05,Frozen Foods,2011.0,OUT010,Tier 3,High,Grocery Store,0.054321,10.895,146.2102,3.0
Low Fat,FDJ48,Baking Goods,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.056388,11.3,245.4118,3.0
Low Fat,FDT49,Canned,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.15128,7.0,107.028,3.0
Low Fat,FDA38,Dairy,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.025459,5.44,241.2538,3.0
Low Fat,FDM20,Fruits and Vegetables,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.038654,10.0,245.4144,3.0
Low Fat,NCF31,Household,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.051804,9.13,150.2024,3.0
Low Fat,NCC06,Household,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.026964,19.0,129.8336,3.0
Low Fat,NCB43,Household,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.0,20.2,187.1898,3.0
Low Fat,FDB47,Snack Foods,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.07137,8.8,209.1612,3.0
Low Fat,FDX58,Snack Foods,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.043727,13.15,182.595,3.0
Regular,FDJ14,Canned,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.050029,10.3,80.096,3.0
Regular,FDA40,Frozen Foods,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.099189,16.0,88.9856,3.0
Regular,FDN46,Snack Foods,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.144511,7.21,100.5332,3.0
Regular,FDG34,Snack Foods,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.037539,11.5,106.9254,3.0
Regular,FDX57,Snack Foods,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.0,17.25,95.2068,3.0
Low Fat,FDE29,Frozen Foods,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.143712,8.905,60.2878,3.0
Low Fat,NCX05,Health and Hygiene,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.097457,15.2,114.4492,3.0
Low Fat,FDF59,Starchy Foods,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.071534,12.5,124.902,3.0
Low Fat,FDR35,Breads,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.020782,12.5,198.3742,3.0
Low Fat,FDS52,Frozen Foods,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.005497,8.89,102.8016,3.0
Low Fat,FDD05,Frozen Foods,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.016679,19.35,119.3098,3.0
Low Fat,DRF23,Hard Drinks,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.123152,4.61,175.2396,3.0
Low Fat,DRK59,Hard Drinks,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.075757,8.895,233.8616,3.0
Low Fat,NCO29,Health and Hygiene,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.032388,11.15,164.3526,3.0
Low Fat,NCM29,Health and Hygiene,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.017714,11.5,132.9626,3.0
Low Fat,NCZ41,Health and Hygiene,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.0,19.85,126.1704,3.0
Low Fat,NCS06,Household,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.031866,7.935,261.291,3.0
Low Fat,NCF42,Household,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.168065,17.35,176.2712,3.0
Low Fat,FDH58,Snack Foods,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.0,12.3,116.4834,3.0
Low Fat,FDN57,Snack Foods,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.054455,18.25,142.0154,3.0
Regular,FDQ48,Baking Goods,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.034551,14.3,98.1726,3.0
Regular,FDF26,Canned,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.046825,6.825,155.2018,3.0
Regular,FDX38,Dairy,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.048403,10.5,48.2376,3.0
Regular,FDP52,Frozen Foods,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.07098,18.7,229.501,3.0
Regular,FDK20,Fruits and Vegetables,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.041727,12.6,122.0072,3.0
Regular,FDS44,Fruits and Vegetables,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.15668,12.65,238.8538,3.0
Regular,FDD32,Fruits and Vegetables,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.041099,17.7,80.9276,3.0
Regular,FDW51,Meat,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.095045,6.155,213.456,3.0
Regular,FDP21,Snack Foods,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.025846,7.42,188.9872,3.0
Low Fat,NCI17,Health and Hygiene,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.144007,8.645,94.741,3.0
Low Fat,DRM59,Hard Drinks,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.003575,12.6,154.6998,3.0
Low Fat,FDY59,Baking Goods,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.031251,12.6,93.3462,3.0
Low Fat,FDR35,Breads,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.020597,12.6,200.0742,3.0
Low Fat,FDD50,Canned,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.140956,12.6,167.7132,3.0
Low Fat,FDZ38,Dairy,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.007962,12.6,174.0422,3.0
Low Fat,FDB44,Fruits and Vegetables,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.016877,12.6,210.0586,3.0
Low Fat,FDV55,Fruits and Vegetables,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.054807,12.6,145.1444,3.0
Low Fat,DRN59,Hard Drinks,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.063831,12.6,46.206,3.0
Low Fat,NCD30,Household,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.0,12.6,98.1726,3.0
Low Fat,NCG30,Household,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.111777,12.6,124.6046,3.0
Low Fat,NCP02,Household,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.044592,12.6,59.6562,3.0
Low Fat,FDP27,Meat,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.118872,12.6,188.353,3.0
Low Fat,FDK34,Snack Foods,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.03834,12.6,240.1564,3.0
Low Fat,FDO58,Snack Foods,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.039386,12.6,164.8526,3.0
Low Fat,FDX45,Snack Foods,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.104348,12.6,156.263,3.0
Low Fat,DRN36,Soft Drinks,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.049935,12.6,95.0752,3.0
Regular,FDP59,Breads,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.056192,12.6,103.1648,3.0
Regular,FDQ26,Dairy,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.067544,12.6,57.2562,3.0
Regular,FDP31,Fruits and Vegetables,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.160723,12.6,65.7168,3.0
Regular,FDU19,Fruits and Vegetables,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.046545,12.6,172.0422,3.0
Regular,FDB58,Snack Foods,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.013431,12.6,143.7154,3.0
Regular,FDK10,Snack Foods,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.040163,12.6,181.166,3.0
Low Fat,DRL11,Hard Drinks,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.047786,12.6,156.5946,3.0
Low Fat,FDV38,Dairy,2011.0,OUT010,Tier 3,Small,Grocery Store,0.170349,19.25,55.7956,2.9
Low Fat,DRJ24,Soft Drinks,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.113235,11.8,186.3924,2.9
Regular,FDQ31,Fruits and Vegetables,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.053931,5.785,87.3856,2.9
Regular,FDC34,Snack Foods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.173028,16.0,155.2972,2.9
Low Fat,FDS13,Canned,2018.0,OUT019,Tier 1,Small,Grocery Store,0.217994,12.6,266.5884,2.9
Low Fat,DRF37,Soft Drinks,2018.0,OUT019,Tier 1,Small,Grocery Store,0.0,12.6,261.291,2.9
Low Fat,FDD04,Dairy,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.089971,16.0,143.2154,2.9
Low Fat,DRF13,Soft Drinks,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.029781,12.1,146.9444,2.9
Low Fat,DRM48,Soft Drinks,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.112897,15.2,36.0848,2.9
Low Fat,DRM35,Hard Drinks,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.070587,9.695,176.9344,2.9
Low Fat,NCS38,Household,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.090374,8.6,114.3176,2.9
Low Fat,DRG37,Soft Drinks,2015.0,OUT045,Tier 2,Small,Supermarket Type1,0.019418,16.2,153.7972,2.9
Regular,FDN56,Fruits and Vegetables,2020.0,OUT017,Tier 2,High,Supermarket Type1,0.107663,5.46,143.8786,2.9
Regular,FDY57,Snack Foods,2020.0,OUT017,Tier 2,Medium,Supermarket Type1,0.12194,20.2,95.3752,2.9
Low Fat,FDB27,Dairy,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.05538,7.575,198.1768,2.9
Regular,FDT32,Fruits and Vegetables,2017.0,OUT035,Tier 2,Small,Supermarket Type1,0.065622,19.0,186.5214,2.9
Low Fat,FDR21,Snack Foods,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.06688,19.7,174.437,2.9
Low Fat,FDD04,Dairy,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.089896,16.0,143.4154,2.9
Low Fat,DRL23,Hard Drinks,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.015292,18.35,106.1938,2.9
Regular,FDE05,Frozen Foods,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.032427,10.895,147.7102,2.9
Low Fat,NCF19,Household,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.035252,13.0,48.0034,2.9
Regular,FDO39,Meat,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.137926,6.985,184.7608,2.9
Low Fat,FDC50,Canned,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.135837,12.6,93.8094,2.9
Low Fat,FDI46,Snack Foods,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.073985,12.6,252.5724,2.9
Low Fat,NCR18,Household,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.020604,15.85,42.7112,2.8
Low Fat,DRD13,Soft Drinks,2020.0,OUT017,Tier 2,Small,Supermarket Type1,0.049357,15.0,62.6168,2.8
Low Fat,FDI35,Starchy Foods,2016.0,OUT046,Tier 1,Small,Supermarket Type1,0.041291,14.0,180.7634,2.8
Low Fat,DRD37,Soft Drinks,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.013898,9.8,46.506,2.8
Regular,FDV37,Canned,2018.0,OUT027,Tier 3,Medium,Supermarket Type3,0.083109,12.6,195.8426,2.8
Low Fat,FDQ09,Snack Foods,2022.0,OUT018,Tier 3,Medium,Supermarket Type2,0.058369,7.235,115.2834,2.8
Regular,FDX46,Snack Foods,2014.0,OUT013,Tier 3,High,Supermarket Type1,0.0,12.3,57.3562,2.8
Regular,FDO19,Fruits and Vegetables,2015.0,OUT045,Tier 2,Medium,Supermarket Type1,0.01663,17.7,48.1034,2.8
Low Fat,FDL56,Fruits and Vegetables,2018.0,OUT019,Tier 1,Small,Grocery Store,0.220226,12.6,85.6198,2.8
Low Fat,FDP38,Canned,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.032152,10.1,50.6008,2.8
Low Fat,FDT21,Snack Foods,2012.0,OUT049,Tier 1,Medium,Supermarket Type1,0.020424,7.42,249.0092,2.8
